producto,fecha,CostesModelo,CostesEmpresa,Coste_Total_XGB,Coste_Total_STCK2,Coste_Total_XGB2
11,2019-11-19,252.0,2659.0,300.0,231.0,291.0
11,2019-11-20,381.0,3368.0,259.0,254.0,235.0
11,2019-11-21,267.0,4572.0,365.0,382.0,309.0
11,2019-11-22,356.0,2343.0,332.0,565.0,418.0
11,2019-11-23,186.0,2162.0,323.0,326.0,348.0
11,2019-11-25,261.0,2622.0,444.0,458.0,294.0
11,2019-11-26,263.0,1987.0,247.0,251.0,220.0
11,2019-11-27,221.0,2943.0,246.0,231.0,231.0
11,2019-11-28,325.0,3793.0,287.0,294.0,270.0
11,2019-11-29,349.0,2024.0,442.0,431.0,467.0
11,2019-11-30,307.0,1631.0,385.0,378.0,494.0
11,2019-12-02,265.0,2234.0,296.0,243.0,273.0
11,2019-12-03,197.0,2659.0,292.0,263.0,344.0
11,2019-12-04,383.0,3422.0,310.0,347.0,319.0
11,2019-12-05,703.0,3726.0,789.0,809.0,780.0
11,2019-12-06,312.0,1737.0,347.0,294.0,205.0
11,2019-12-07,236.0,640.0,214.0,163.0,291.0
11,2019-12-09,203.0,1012.0,274.0,261.0,406.0
11,2019-12-10,278.0,712.0,262.0,264.0,239.0
11,2019-12-11,235.0,854.0,278.0,278.0,260.0
11,2019-12-12,278.0,1598.0,283.0,303.0,271.0
11,2019-12-13,373.0,501.0,419.0,412.0,500.0
11,2019-12-14,133.0,656.0,203.0,204.0,143.0
11,2019-12-16,384.0,1315.0,339.0,369.0,358.0
11,2019-12-17,219.0,2021.0,245.0,249.0,211.0
11,2019-12-18,357.0,2343.0,414.0,414.0,335.0
11,2019-12-19,383.0,5174.0,345.0,362.0,216.0
11,2019-12-20,325.0,1812.0,388.0,397.0,365.0
11,2019-12-23,288.0,961.0,333.0,339.0,410.0
11,2019-12-24,213.0,1366.0,301.0,262.0,259.0
11,2019-12-26,355.0,2518.0,323.0,339.0,354.0
11,2019-12-27,376.0,1422.0,394.0,403.0,350.0
